image_name,tags
file_0,clear primary
file_1,partly_cloudy primary agriculture road habitation
file_2,clear primary
file_3,clear primary
file_4,partly_cloudy primary agriculture road cultivation
file_5,clear primary
file_6,clear primary agriculture water cultivation
file_7,clear primary
file_8,clear primary agriculture cultivation
file_9,clear primary
file_10,haze primary agriculture road water
file_11,partly_cloudy primary
file_12,clear primary
file_13,clear primary
file_14,clear primary
file_15,clear primary agriculture water
file_16,clear primary
file_17,clear primary road water
file_18,cloudy
file_19,partly_cloudy primary
file_20,clear primary
file_21,partly_cloudy primary
file_22,cloudy
file_23,clear primary agriculture road water habitation
file_24,partly_cloudy primary agriculture water
file_25,clear primary
file_26,clear haze primary agriculture road cultivation
file_27,haze primary water
file_28,haze cloudy primary
file_29,partly_cloudy primary agriculture road cultivation
file_30,clear primary
file_31,clear primary agriculture
file_32,clear primary agriculture cultivation
file_33,clear primary agriculture cultivation habitation
file_34,clear primary
file_35,clear primary agriculture water
file_36,clear primary
file_37,partly_cloudy primary
file_38,clear primary agriculture road cultivation habitation
file_39,partly_cloudy primary agriculture road cultivation
file_40,clear primary
file_41,cloudy
file_42,partly_cloudy primary agriculture road water cultivation habitation
file_43,cloudy
file_44,clear primary
file_45,clear primary agriculture cultivation
file_46,clear primary agriculture
file_47,clear primary agriculture road cultivation
file_48,clear primary
file_49,clear primary
file_50,clear primary
file_51,clear primary agriculture road water
file_52,clear primary agriculture
file_53,partly_cloudy primary
file_54,partly_cloudy primary
file_55,partly_cloudy cloudy primary
file_56,clear primary agriculture cultivation habitation
file_57,clear primary
file_58,clear primary agriculture road habitation
file_59,clear primary
file_60,clear primary agriculture road water
file_61,clear primary water
file_62,clear primary agriculture road water habitation
file_63,clear haze primary agriculture cultivation
file_64,clear primary agriculture cultivation
file_65,clear primary
file_66,clear primary water
file_67,clear haze primary
file_68,partly_cloudy primary agriculture cultivation
file_69,clear primary agriculture road cultivation habitation
file_70,clear primary
file_71,clear primary agriculture road cultivation habitation
file_72,partly_cloudy primary water
file_73,clear primary agriculture cultivation
file_74,haze primary agriculture road water
file_75,partly_cloudy primary agriculture
file_76,clear primary
file_77,clear primary road water
file_78,clear primary
file_79,clear primary
file_80,clear primary
file_81,clear primary agriculture road cultivation
file_82,clear primary agriculture cultivation
file_83,partly_cloudy primary
file_84,clear primary agriculture cultivation habitation
file_85,cloudy
file_86,clear primary agriculture road bare_ground
file_87,clear primary
file_88,clear primary road water habitation artisinal_mine
file_89,clear primary road habitation
file_90,clear primary water
file_91,cloudy
file_92,clear primary
file_93,clear primary
file_94,clear primary agriculture water cultivation
file_95,clear primary
file_96,clear primary
file_97,haze partly_cloudy primary agriculture
file_98,clear primary
file_99,clear primary agriculture road water cultivation habitation
file_100,clear primary water
file_101,clear primary
file_102,clear primary agriculture water cultivation
file_103,haze cloudy primary
file_104,haze cloudy primary agriculture water
file_105,cloudy
file_106,clear primary
file_107,clear primary
file_108,haze cloudy primary
file_109,clear primary agriculture road bare_ground
file_110,clear primary agriculture road water cultivation
file_111,partly_cloudy primary
file_112,haze cloudy primary
file_113,clear primary agriculture road cultivation habitation
file_114,clear primary
file_115,partly_cloudy primary
file_116,clear primary
file_117,clear primary
file_118,partly_cloudy primary
file_119,clear primary agriculture cultivation
file_120,clear primary
file_121,clear primary agriculture cultivation
file_122,partly_cloudy primary
file_123,clear primary
file_124,clear primary
file_125,clear primary agriculture road
file_126,clear primary agriculture road cultivation habitation
